"ID","LabCode","C14Age","C14AgeError","MedianDate","Two-Sigma Range","Method","SiteName_jp","SiteName_en","Laitude","Longitude","Context","Prefecture","Region","PublicationYear","Reference","Notes","USED"
76,"IAAA-132469",941,22,"1101 AD","1036AD-1158AD (0.955)","AMS","天神段遺跡","Tenjindaniseki",31.50798056,130.9525306,"試料番号:5 土坑墓7号","Kagoshima","Kyushu",2015,"公益財団法人鹿児島県文化振興財団埋蔵文化財調査センター発掘調査報告書(3)　東九州自動車道建設(鹿屋串良JCT〜曽於弥五郎IC)に伴う埋蔵文化財発掘調査報告書　天神段遺跡(弥生時代〜近世編)","",TRUE
77,"IAAA-133011",752,20,"1271 AD","1228AD-1247AD (0.124)|1253AD-1284AD (0.837)","AMS","沖ノ羽遺跡","Okinohaiseki",37.8180037,139.1339833,"2区西SE400","Niigata","Chubu",2016,"沖ノ羽遺跡Ⅳ　第19･22･24次調査　本文編","",TRUE
78,"IAAA-142845",456,23,"1441 AD","1422AD-1459AD (0.957)","AMS","江古田遺跡","Egotaiseki",35.72583056,139.66635,"10号円形土坑","Tokyo","Kanto",2016,"東京都埋蔵文化財センター調査報告第312集　江古田遺跡Ⅳ","",TRUE
79,"IAAA-143578",297,23,"1558 AD","1507AD-1594AD (0.691)|1618AD-1654AD (0.264)","AMS","赤沢城跡","Akasawajoseki",36.97448889,138.6510889,"2号堀　南東虎口部　黒色土","Niigata","Chubu",2016,"津南町文化財調査報告書第69輯　赤沢城跡","",TRUE
80,"IAAA-143579",424,23,"1455 AD","1432AD-1492AD (0.943)|1603AD-1608AD (0.014)","AMS","赤沢城跡","Akasawajoseki",36.97448889,138.6510889,"23号土坑　黒色土","Niigata","Chubu",2016,"津南町文化財調査報告書第69輯　赤沢城跡","",TRUE
81,"IAAA-143580",270,22,"1640 AD","1523AD-1574AD (0.342)|1625AD-1626AD (0.003)|1629AD-1664AD (0.568)|1785AD-1794AD (0.045)","AMS","赤沢城跡","Akasawajoseki",36.97448889,138.6510889,"5溝　炭化物出土範囲B","Niigata","Chubu",2016,"津南町文化財調査報告書第69輯　赤沢城跡","",TRUE
82,"IAAA-1500685",723,24,"1280 AD","1264AD-1300AD (0.924)|1371AD-1377AD (0.03)","AMS","岡遺跡","Okaiseki",33.49203056,133.9276,"試料名:SX3埋土出土炭化","Kochi","Shikoku",2016,"高知県埋蔵文化財センター発掘調査報告書　第149集　岡遺跡　県道大久保伊尾木線道路改良工事に伴う発掘調査報告書","",TRUE
83,"IAAA-30066",-860,30,NA,NA,"AMS","ナガラバル東遺跡","Nagarabaruhigashiiseki",27.03966111,127.9685806,"98LF12","Okinawa","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","Negative Date; Modern Sample; Outside window of analysis",FALSE
84,"IAAA-30108",290,30,"1565 AD","1497AD-1600AD (0.642)|1615AD-1661AD (0.307)|1788AD-1792AD (0.008)","AMS","飛泉寺跡遺跡","Hisenjiatoiseki",38.01341111,139.8212694,"SB905EP40-F","Yamagata","Tohoku",2004,"山形県埋蔵文化財センター調査報告書第134集　飛泉寺跡遺跡発掘調査報告書","",TRUE
85,"IAAA-30244",1750,40,"312 AD","236AD-405AD (0.956)","AMS","川前2遺跡","Kawamae2iseki",38.33593056,140.3147389,"SD125","Yamagata","Tohoku",2011,"山形県埋蔵文化財センター調査報告書第193集　川前2遺跡第1･2次発掘調査報告書","",TRUE
86,"IAAA-30251",2140,40,"168 BC","354BC-283BC (0.217)|230BC-48BC (0.738)","AMS","吉野ヶ里遺跡","Yoshinogariiseki",33.31048056,130.3726694,"田手地区，ユンボ作業中に出土","Saga","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
87,"IAAA-30258",2340,50,"416 BC","736BC-695BC (0.036)|663BC-649BC (0.017)|546BC-351BC (0.791)|291BC-208BC (0.11)","AMS","下稗田遺跡","Shimohiedaiseki",33.70353889,130.9447194,"Ⅱ-F区80号貯蔵穴","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
88,"IAAA-30369",590,40,"1350 AD","1300AD-1371AD (0.651)|1377AD-1420AD (0.305)","AMS","水橋金広･中馬場遺跡","Mizuhashikanehiro・Nakabambaiseki",36.71478056,137.3069194,"SK26","Toyama","Chubu",2006,"富山市埋蔵文化財調査報告6-(1)　水橋金広･中馬場遺跡発掘調査報告書Ⅱ","",TRUE
89,"IAAA-30533",270,50,"1620 AD","1477AD-1683AD (0.788)|1735AD-1755AD (0.027)|1760AD-1802AD (0.11)|1929AD-1934AD (0.005)|1937AD-1950AD (0.026)","AMS","トメト川3遺跡","Tometogawa3iseki",42.86336944,141.6767111,"炉1-2層（Ta-a層直下）　1号平地式住居跡, TM3-01","Hokkaido","Hokkaido",2004,"千歳市文化財調査報告書ⅩⅩⅩⅠ　トメト川３遺跡における考古学的調査","Outside window of analysis",FALSE
90,"IAAA-30559",1230,40,"798 AD","676AD-751AD (0.309)|758AD-888AD (0.645)","AMS","鞠智城跡","Kikuchijoato",33.02808056,130.7596694,"長者山西　72号建物跡","Kumamoto","Kyushu",2004,"鞠智城跡　-第24次調査報告-","",TRUE
91,"IAAA-31951",630,33,"1349 AD","1291AD-1397AD (0.956)","AMS","間尽遺跡","Mazukushiiseki",36.76141944,136.9593194,"SK104　3層","Toyama","Chubu",2004,"高岡市埋蔵文化財調査報告第11冊　間尽遺跡調査報告Ⅱ","",TRUE
92,"IAAA-31968",2022,41,"11 BC","150BC-133BC (0.022)|117BC-83AD (0.902)|96AD-115AD (0.031)","AMS","カネガ谷遺跡","Kanegadaniiseki",34.15846944,134.5162,"試料番号:8　C'-9　SB1007　埋土(床面直上)遺物番号:38","Tokushima","Shikoku",2005,"徳島県埋蔵文化財センター調査報告書　第62集　四国横断自動車道建設に伴う埋蔵文化財発掘調査報告　(自然科学･図版編)","",TRUE
93,"IAAA-40023",1720,40,"340 AD","247AD-300AD (0.292)|304AD-414AD (0.663)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"A8地区　SI4","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
94,"IAAA-40024",1870,40,"171 AD","67AD-247AD (0.95)|300AD-304AD (0.005)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B3地区　SI5","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
95,"IAAA-40025",1870,40,"171 AD","67AD-247AD (0.95)|300AD-304AD (0.005)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B5地区　SI7","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
96,"IAAA-40026",1910,40,"130 AD","24AD-225AD (0.954)|227AD-228AD (0.003)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B5地区　SI6","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
97,"IAAA-40027",1840,40,"203 AD","85AD-94AD (0.013)|118AD-256AD (0.834)|283AD-326AD (0.11)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B6地区　SI12","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
98,"IAAA-40028",1870,40,"171 AD","67AD-247AD (0.95)|300AD-304AD (0.005)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B6地区　SI15","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
99,"IAAA-40029",1910,40,"130 AD","24AD-225AD (0.954)|227AD-228AD (0.003)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B6地区　SI23","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
100,"IAAA-40030",1890,40,"154 AD","30AD-40AD (0.015)|61AD-238AD (0.94)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B6地区　SH31","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
101,"IAAA-40031",1890,40,"154 AD","30AD-40AD (0.015)|61AD-238AD (0.94)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B7地区　SB2","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
102,"IAAA-40032",1920,40,"115 AD","11AD-220AD (0.956)","AMS","下老子笹川遺跡","Shimoigosasagawaiseki",36.71241944,136.9435611,"B7地区　SI19","Toyama","Chubu",2006,"富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編)","",TRUE
103,"IAAA-40823",2390,40,"477 BC","746BC-690BC (0.097)|664BC-645BC (0.042)|564BC-557BC (0.006)|551BC-391BC (0.81)","AMS","八ノ坪遺跡","Hachinotsuboiseki",32.74643056,130.6652194,"SK171，1次","Kumamoto","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
104,"IAAA-40833",2020,30,"9 BC","97BC-70BC (0.054)|57BC-79AD (0.895)|100AD-107AD (0.009)","AMS","古島榎崎遺跡","Kojimaenokizakiiseki",33.19718889,130.4709889,"Ｓ104住床面出土","Fukuoka","Kyushu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
105,"IAAA-41644",341,32,"1560 AD","1472AD-1638AD (0.955)","AMS","脇本城跡","Wakimotojoato",39.90302778,139.8954976,"E20　土層ベルト","Akita","Tohoku",2005,"男鹿市文化財調査報告第29集　国指定史跡　脇本城跡","",TRUE
106,"IAAA-42077",1212,40,"818 AD","679AD-745AD (0.181)|759AD-767AD (0.012)|772AD-894AD (0.729)|925AD-949AD (0.033)","AMS","新南部遺跡群","Shinnabeisekigun",32.80631111,130.7331111,"試料番号:2　S-042　カマド左　北東","Kumamoto","Kyushu",2015,"熊本県文化財調査報告　第311集　新南部遺跡群3　白川河川改修事業に伴う埋蔵文化財発掘調査","",TRUE
107,"IAAA-42112",902,36,"1139 AD","1040AD-1109AD (0.369)|1114AD-1218AD (0.587)","AMS","地蔵岱遺跡","Jizotaiiseki",40.04318889,140.5487194,"SB7090 P7","Akita","Tohoku",2008,"秋田県文化財調査報告書第434集　地蔵岱遺跡　本文篇","",TRUE
108,"IAAA-51446",2204,37,"278 BC","382BC-171BC (0.955)","AMS","中里遺跡","Nakazatoiseki",35.28303889,139.1855889,"334号土坑　覆土","Kanagawa","Kanto",2015,"中里遺跡発掘調査報告書　第Ⅰ分冊(本文編)","",TRUE
109,"IAAA-51465",1136,40,"919 AD","775AD-790AD (0.059)|806AD-809AD (0.005)|821AD-993AD (0.891)","AMS","泉廃寺跡","Izumihaiji",37.60768889,140.8616,"第22次調査地点　C-C'2層","Fukushima","Tohoku",2007,"南相馬市埋蔵文化財調査報告書第6集　泉廃寺跡","",TRUE
110,"IAAA-52549",1737,38,"324 AD","243AD-405AD (0.956)","AMS","花宴遺跡","Hananoeniseki",33.55416944,133.7429806,"Ⅳ区　北半部Ⅵ層","Kochi","Shikoku",2010,"高知県埋蔵文化財センター発掘調査報告書　第115集　花宴遺跡　南国安芸道路建設工事に伴う発掘調査報告書Ⅱ(高知東部自動車道埋蔵文化財発掘調査報告書Ⅲ)","",TRUE
111,"IAAA-60677",387,28,"1492 AD","1445AD-1523AD (0.661)|1561AD-1563AD (0.005)|1572AD-1630AD (0.293)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"AT203-205整地層","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
112,"IAAA-60678",360,28,"1546 AD","1457AD-1527AD (0.463)|1542AD-1544AD (0.006)|1551AD-1634AD (0.486)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"空堀1西側法面中段壁面密着","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
113,"IAAA-60680",359,30,"1548 AD","1457AD-1528AD (0.452)|1541AD-1546AD (0.014)|1550AD-1634AD (0.49)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"堀切3東側ピット第1硬化面","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
114,"IAAA-60681",325,29,"1562 AD","1483AD-1641AD (0.958)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"堀切3西側ピット第1硬化面","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
115,"IAAA-60683",370,29,"1517 AD","1452AD-1526AD (0.527)|1553AD-1633AD (0.431)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"No.33北トレンチ竪穴状遺構","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
116,"IAAA-60684",350,30,"1558 AD","1460AD-1465AD (0.018)|1467AD-1529AD (0.379)|1539AD-1635AD (0.558)","AMS","河村城跡","Kawamurajoato",35.36123889,139.08105,"No.32南トレンチ竪穴状遺構","Kanagawa","Kanto",2007,"神奈川県足柄上郡山北町文化財調査報告1　河村城跡","",TRUE
117,"IAAA-61083",1262,39,"740 AD","665AD-775AD (0.687)|786AD-835AD (0.196)|846AD-877AD (0.073)","AMS","長者ヶ平遺跡","Chojagadairaiseki",36.67843056,140.0428,"第3次調査区　SB-86B南東隅抜き取り痕跡埋土","Tochigi","Kanto",2007,"栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡","",TRUE
118,"IAAA-61084",1066,37,"980 AD","893AD-1029AD (0.96)","AMS","長者ヶ平遺跡","Chojagadairaiseki",36.67843056,140.0428,"第6次調査区　SB-113西第2列南第2柱堀方埋土","Tochigi","Kanto",2007,"栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡","",TRUE
119,"IAAA-61085",1335,41,"694 AD","612AD-614AD (0.003)|641AD-773AD (0.954)","AMS","長者ヶ平遺跡","Chojagadairaiseki",36.67843056,140.0428,"第12次調査区 SB-201B東側柱列南第2柱抜き取り痕跡埋土","Tochigi","Kanto",2007,"栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡","",TRUE
120,"IAAA-61213",NA,NA,NA,NA,"AMS","荒谷遺跡","Arayaiseki",40.44321111,141.4702611,"B区小礫下","Aomori","Tohoku",2007,"荒谷遺跡","Modern sample",FALSE
121,"IAAA-62068",318,29,"1562 AD","1488AD-1644AD (0.957)","AMS","田光遺跡","Takoiseki",39.36683056,141.2307694,"堀立柱建物跡柱穴跡底面","Iwate","Tohoku",2006,"花巻市東和町内遺跡発掘調査報告書　倉沢10区Ⅰ遺跡･田光遺跡･押蕪遺跡･長森遺跡","",TRUE
122,"IAAA-70350",1682,33,"377 AD","254AD-288AD (0.154)|324AD-433AD (0.787)|468AD-473AD (0.005)|518AD-528AD (0.009)","AMS","下土師東遺跡","Shimohajihigashiiseki",36.28648056,140.3978389,"3区　第40号住居跡","Ibaraki","Kanto",2009,"茨城県教育財団文化財調査報告書第315集　下土師東遺跡2","",TRUE
123,"IAAA-71137",1860,30,"180 AD","86AD-93AD (0.013)|119AD-242AD (0.944)","AMS","大友西遺跡","Otomonishiiseki",36.60446111,136.6272,"18号井戸（SE18）","Ishikawa","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","ORA might have reservoir effect?",FALSE
124,"IAAA-71140",1900,30,"147 AD","63AD-225AD (0.955)","AMS","大友西遺跡","Otomonishiiseki",36.60446111,136.6272,"18号井戸（SE18）","Ishikawa","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","ORA might have reservoir effect?",FALSE
125,"IAAA-71153",2540,30,"674 BC","796BC-739BC (0.371)|693BC-664BC (0.156)|647BC-547BC (0.43)","AMS","讃良郡条里遺跡","Saragunjoriiseki",34.75516528,135.6330833,"6-152号土坑","Osaka","Kansai",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
126,"IAAA-71592",2200,40,"274 BC","386BC-155BC (0.955)","AMS","朝日遺跡","Asahiiseki",35.21685247,136.8523623,NA,"Aichi","Chubu",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
127,"IAAA-71859",412,28,"1467 AD","1434AD-1512AD (0.839)|1515AD-1517AD (0.004)|1591AD-1620AD (0.116)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SC-12　炭層","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
128,"IAAA-71927",2400,30,"472 BC","732BC-697BC (0.062)|662BC-651BC (0.031)|545BC-398BC (0.864)","AMS","庄・蔵本遺跡","Sho・Kuramoto",34.07518056,134.5184194,"SD312焼土070228","Tokushima","Shikoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","Conlicting information on specimen; Excluded as might not be rice.",FALSE
129,"IAAA-71930",2540,30,"674 BC","796BC-739BC (0.371)|693BC-664BC (0.156)|647BC-547BC (0.43)","AMS","庄・蔵本遺跡","Sho・Kuramoto",34.07518056,134.5184194,"SD315下層、炭化物層","Tokushima","Shikoku",2009,"弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書","",TRUE
130,"IAAA-72660",1348,29,"669 AD","644AD-692AD (0.682)|694AD-703AD (0.029)|741AD-772AD (0.244)","AMS","恒川遺跡群","Gongaisekigun",35.5438,137.8427111,"YKS3454-5 36次調査区","Nagano","Chubu",2013,"恒川遺跡群総括編 長野県飯田市教育委員会","",TRUE
131,"IAAA-72661",1231,25,"802 AD","686AD-699AD (0.033)|701AD-741AD (0.236)|763AD-763AD (0.002)|773AD-775AD (0.021)|781AD-882AD (0.664)","AMS","恒川遺跡群","Gongaisekigun",35.5438,137.8427111,"YKS4754　32次調査区","Nagano","Chubu",2013,"恒川遺跡群総括編 長野県飯田市教育委員会","",TRUE
132,"IAAA-72878",1093,37,"952 AD","778AD-778AD (0.002)|886AD-1022AD (0.953)","AMS","西部遺跡","Seibuiseki",38.15261111,139.4423111,"SC002　1層","Niigata","Chubu",2009,"新潟県埋蔵文化財調査報告書第194集　日本海沿岸東北自動車道関係発掘調査報告書ⅩⅩⅩ　西部遺跡Ⅳ･桜林遺跡Ⅲ","",TRUE
133,"IAAA-80675",NA,NA,NA,NA,"AMS","宮田館遺跡","Miyatadateiseki",40.837777,140.835,"火山灰範囲12　Ⅱa層","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","Modern sample",FALSE
134,"IAAA-81401",1962,27,"60 AD","37BC-14BC (0.066)|4AD-124AD (0.889)","AMS","河原口坊中遺跡","Kawaraguchibojoiseki",35.4495,139.3822806,"YH2号方形周溝墓","Kanagawa","Kanto",2015,"かながわ考古学財団調査報告307　河原口坊中遺跡第2次調査　第4分冊","",TRUE
135,"IAAA-81495",618,26,"1348 AD","1299AD-1372AD (0.731)|1376AD-1398AD (0.225)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SK-259　最下層","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
136,"IAAA-81496",454,27,"1442 AD","1421AD-1472AD (0.958)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SK-266　3層下位","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
137,"IAAA-81497",729,25,"1278 AD","1232AD-1240AD (0.021)|1260AD-1300AD (0.915)|1371AD-1377AD (0.021)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SK-303　2層上部","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
138,"IAAA-81499",384,27,"1495 AD","1447AD-1523AD (0.646)|1561AD-1563AD (0.005)|1572AD-1630AD (0.306)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SF-133　火床面付近","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
139,"IAAA-81500",569,25,"1350 AD","1311AD-1360AD (0.575)|1388AD-1422AD (0.389)","AMS","米山(2)遺跡","Yoneyama(2)Iseki",40.8425,140.848055,"SF-134　底面炭範囲","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ","",TRUE
140,"IAAA-82019",1109,31,"941 AD","777AD-780AD (0.008)|883AD-994AD (0.925)|1005AD-1017AD (0.023)","AMS","太田遺跡","Otaiseki",37.63723889,139.0557389,"SK100","Niigata","Chubu",2011,"加茂市文化財調査報告(21)　荒又遺跡･太田遺跡","",TRUE
141,"IAAA-82020",1165,31,"873 AD","775AD-791AD (0.117)|797AD-903AD (0.558)|913AD-975AD (0.28)","AMS","太田遺跡","Otaiseki",37.63723889,139.0557389,"SK100","Niigata","Chubu",2011,"加茂市文化財調査報告(21)　荒又遺跡･太田遺跡","",TRUE
142,"IAAA-82021",1251,27,"737 AD","674AD-753AD (0.564)|757AD-775AD (0.081)|787AD-833AD (0.245)|849AD-876AD (0.064)","AMS","太田遺跡","Otaiseki",37.63723889,139.0557389,"SK63","Niigata","Chubu",2011,"加茂市文化財調査報告(21)　荒又遺跡･太田遺跡","",TRUE
143,"IAAA-82581",317,30,"1562 AD","1488AD-1645AD (0.955)","AMS","坂田仲沢遺跡","Sakatanakazawaiseki",37.44488889,138.6739194,"S-54　下層黒色","Niigata","Chubu",2010,"柏崎市埋蔵文化財調査報告書第58集　坂田遺跡群Ⅲ","",TRUE
144,"IAAA-82633",316,20,"1561 AD","1497AD-1600AD (0.761)|1615AD-1642AD (0.194)","AMS","西高校遺跡","Nishikokoiseki",40.82471111,140.6787389,"第1号性格不明遺構　9層","Aomori","Tohoku",2009,"青森県埋蔵文化財調査報告書第477集　西高校遺跡","",TRUE
145,"IAAA-82880",1870,30,"172 AD","84AD-95AD (0.028)|116AD-238AD (0.93)","AMS","下佐野遺跡","Shimosanoiseki",36.72391111,136.9924611,"B2地区　SI01　土器内","Toyama","Chubu",2011,"下佐野遺跡発掘調査報告書","",TRUE
146,"IAAA-82881",1906,30,"140 AD","30AD-40AD (0.017)|61AD-217AD (0.938)","AMS","下佐野遺跡","Shimosanoiseki",36.72391111,136.9924611,"B2地区　SI02","Toyama","Chubu",2011,"下佐野遺跡発掘調査報告書","",TRUE
147,"IAAA-82883",1930,33,"100 AD","18AD-209AD (0.955)","AMS","下佐野遺跡","Shimosanoiseki",36.72391111,136.9924611,"B2地区　SK05　覆土","Toyama","Chubu",2011,"下佐野遺跡発掘調査報告書","",TRUE
148,"IAAA-82884",1878,31,"167 AD","81AD-98AD (0.051)|110AD-236AD (0.906)","AMS","下佐野遺跡","Shimosanoiseki",36.72391111,136.9924611,"B2地区　SK06　覆土","Toyama","Chubu",2011,"下佐野遺跡発掘調査報告書","",TRUE
149,"IAAA-83082",2494,29,"636 BC","775BC-536BC (0.935)|533BC-516BC (0.019)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK138　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
150,"IAAA-83083",2147,28,"179 BC","351BC-289BC (0.249)|227BC-221BC (0.009)|208BC-92BC (0.646)|77BC-54BC (0.052)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK176　最下層","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
151,"IAAA-83084",2385,27,"454 BC","714BC-712BC (0.006)|659BC-656BC (0.008)|541BC-396BC (0.941)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK210　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
152,"IAAA-83085",2359,28,"416 BC","537BC-532BC (0.012)|516BC-387BC (0.946)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1292　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
153,"IAAA-83086",2354,29,"410 BC","537BC-533BC (0.009)|516BC-384BC (0.948)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1293　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
154,"IAAA-83089",2356,26,"409 BC","535BC-535BC (0.002)|515BC-497BC (0.04)|489BC-386BC (0.914)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1303　3層","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
155,"IAAA-83090",2480,27,"636 BC","771BC-510BC (0.929)|504BC-482BC (0.026)","AMS","力石条里遺跡群","Chikaraishijoriisekigun",36.46926111,138.1443806,"SK1387　埋土","Nagano","Chubu",2011,"長野県埋蔵文化財センター発掘調査報告書96　主要地方道長野上田線力石バイパス建設事業埋蔵文化財発掘調査報告書1　千曲市内　力石条里遺跡群","",TRUE
