ID,Paddy,Rice,UseForAnalyses,Justification,LabCode,C14Age,C14Error,Method,Delta13C,Delta13C_IRMS,MaterialClass,MaterialDetails,MaterialDetails_En,Context,SiteName,SiteName_En,SiteAddress,Latitude,Longitude,Prefecture,Region,Source,PublicationYear,Reference,Note,Problem
150,FALSE,TRUE,TRUE,,IAAA-31951,630,33,AMS,-25.44,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),SK104　3層,間尽遺跡,Mazukushiiseki,高岡市手洗野,36.76141944,136.9593194,Toyama,Chubu,Rekihaku 14C Database,2004,高岡市埋蔵文化財調査報告第11冊　間尽遺跡調査報告Ⅱ,,
151,FALSE,TRUE,TRUE,,IAAA-31968,2022,41,AMS,-22.49,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料番号:8　C'-9　SB1007　埋土(床面直上)遺物番号:38　,カネガ谷遺跡,Kanegadaniiseki,鳴門市大麻町萩原字カネガ谷,34.15846944,134.5162,Tokushima,Shikoku,Rekihaku 14C Database,2005,徳島県埋蔵文化財センター調査報告書　第62集　四国横断自動車道建設に伴う埋蔵文化財発掘調査報告　(自然科学･図版編),,
152,FALSE,TRUE,TRUE,,IAAA-40023,1720,40,AMS,-28.48,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),A8地区　SI4　,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
153,FALSE,TRUE,TRUE,,IAAA-40024,1870,40,AMS,-26.93,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B3地区　SI5,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
154,FALSE,TRUE,TRUE,,IAAA-40025,1870,40,AMS,-25.92,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B5地区　SI7　,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
155,FALSE,TRUE,TRUE,,IAAA-40026,1910,40,AMS,-26.6,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B5地区　SI6,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
156,FALSE,TRUE,TRUE,,IAAA-40027,1840,40,AMS,-25.53,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B6地区　SI12,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
157,FALSE,TRUE,TRUE,,IAAA-40028,1870,40,AMS,-24.52,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B6地区　SI15,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
158,FALSE,TRUE,TRUE,,IAAA-40029,1910,40,AMS,-25.2,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B6地区　SI23,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
159,FALSE,TRUE,TRUE,,IAAA-40030,1890,40,AMS,-25.94,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B6地区　SH31,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
160,FALSE,TRUE,TRUE,,IAAA-40031,1890,40,AMS,-25.41,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B7地区　SB2,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
161,FALSE,TRUE,TRUE,,IAAA-40032,1920,40,AMS,-26.83,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),B7地区　SI19,下老子笹川遺跡,Shimoigosasagawaiseki,高岡市福岡町下老子,36.71241944,136.9435611,Toyama,Chubu,Rekihaku 14C Database,2006,富山県文化振興財団埋蔵文化財発掘調査報告第31集　下老子笹川遺跡発掘調査報告(第五分冊　自然科学分析･考察編),,
162,TRUE,FALSE,,,IAAA-40792,2410,40,AMS,-34.8,-25.664,Organic Residue from Pottery,"土器付着物,口縁外下",from pottery rim outside edge residue,第7次，溝S-66（新）水田S-80（古）,玉沢地区条里跡遺跡第7次調査,Tamazawachikujoriatoisekidai7jichosa,大分市大字玉沢字楠本743-2,33.18804028,131.5786347,Oita,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
163,FALSE,TRUE,FALSE,ORA might have reservoir effect?,IAAA-40813,2160,40,AMS,-32.03,NA,Organic Residue from Pottery,"土器付着物,コメ,胴外上",from pottery residue outside rice (Oryza sativa),2原地区河川CD5ヤⅡP148 6,原の辻遺跡,Harunotsujiiseki,壱岐市芦辺町他,33.80116111,129.75995,Nagasaki,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
164,FALSE,TRUE,TRUE,,IAAA-40823,2390,40,AMS,-30.31,-24.601,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),SK171，1次,八ノ坪遺跡,Hachinotsuboiseki,熊本市護藤町・美登里町,32.74643056,130.6652194,Kumamoto,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
165,FALSE,TRUE,FALSE,Duplicate of 164,IAAA-40823,2390,40,AMS,NA,-24.6,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料番号:3　SK171　FJ583　,八ノ坪遺跡(第1調査区),Hachinotsuboiseki（Dai1jichosaku）,熊本市南区護藤町地内,32.74643056,130.6652194,Kumamoto,Kyushu,Rekihaku 14C Database,2006,八ノ坪遺跡Ⅰ　-東西屋敷地区経営体育成基盤整備事業に伴う埋蔵文化財発掘調査報告1-　分析･考察･図版編,,
166,FALSE,TRUE,TRUE,,IAAA-40833,2020,30,AMS,-25.89,-25.504,Charred Seed,"種実,コメ,3個",seed/nuts rice (Oryza sativa),Ｓ104住床面出土,古島榎崎遺跡,Kojimaenokizakiiseki,筑後市大字古島字榎崎４７０他,33.19718889,130.4709889,Fukuoka,Kyushu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
167,FALSE,TRUE,FALSE,Duplicate of 166,IAAA-40833,2020,30,AMS,NA,-25.5,Charred Seed,炭化米,carbonized rice (Oryza sativa),試料番号:FJ0601,古島榎崎遺跡(第1次調査),Kojimaenokizakiiseki（Dai1jichosa）,筑後市大字古島字榎崎470外,33.19718889,130.4709889,Fukuoka,Kyushu,Rekihaku 14C Database,2006,古島榎崎遺跡　筑後市文化財調査報告書　第72集　,,
168,FALSE,TRUE,FALSE,Possibly not on rice remain,IAAA-41524,348,33,AMS,-28.88,NA,Wood,植物遺体(イネ属),plant plant remains rice (Oryza sativa),一括出土銭　縄,楢館遺跡,Naradateiseki,八戸市大字是川字楢館,40.47586111,141.5089306,Aomori,Tohoku,Rekihaku 14C Database,2005,青森県埋蔵文化財調査報告書第388集　楢館遺跡Ⅱ,,
169,FALSE,TRUE,TRUE,,IAAA-41644,341,32,AMS,-24.65,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),E20　土層ベルト,脇本城跡,Wakimotojoato,男鹿市脇本脇本字七沢,39.90302778,139.8954976,Akita,Tohoku,Rekihaku 14C Database,2005,男鹿市文化財調査報告第29集　国指定史跡　脇本城跡,,
170,FALSE,TRUE,TRUE,,IAAA-42077,1212,40,AMS,-23.82,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),試料番号:2　S-042　カマド左　北東,新南部遺跡群,Shinnabeisekigun,熊本市中央区渡鹿8丁目,32.80631111,130.7331111,Kumamoto,Kyushu,Rekihaku 14C Database,2015,熊本県文化財調査報告　第311集　新南部遺跡群3　白川河川改修事業に伴う埋蔵文化財発掘調査,,
171,FALSE,TRUE,TRUE,,IAAA-42112,902,36,AMS,-28.3,NA,Charred Seed,炭化種実(イネ胚乳･アワ-ヒエ･マメ類),carbonized seed/nuts foxtail millet (Setaria italica) rice (Oryza sativa) barnyard millet (Echinochloa) legume (Fabaceae),SB7090 P7,地蔵岱遺跡,Jizotaiiseki,北秋田市森吉字地蔵岱,40.04318889,140.5487194,Akita,Tohoku,Rekihaku 14C Database,2008,秋田県文化財調査報告書第434集　地蔵岱遺跡　本文篇,"this is not just rice but also foxtail millet, barnyard millet and ?azuki/soybean. The dC13 suggests the contribution of millets to the date is very low. [CJS]",
172,FALSE,TRUE,TRUE,,IAAA-51446,2204,37,AMS,-25.88,NA,Charred Seed,炭化米(イネ),carbonized rice (Oryza sativa),334号土坑　覆土,中里遺跡,Nakazatoiseki,小田原市中里,35.28303889,139.1855889,Kanagawa,Kanto,Rekihaku 14C Database,2015,中里遺跡発掘調査報告書　第Ⅰ分冊(本文編),,
173,FALSE,TRUE,TRUE,,IAAA-51465,1136,40,AMS,-22.77,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),第22次調査地点　C-C'2層,泉廃寺跡,Izumihaiji,南相馬市原町区字寺家前,37.60768889,140.8616,Fukushima,Tohoku,Rekihaku 14C Database,2007,南相馬市埋蔵文化財調査報告書第6集　泉廃寺跡,,
174,FALSE,TRUE,TRUE,,IAAA-52549,1737,38,AMS,-26.94,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),Ⅳ区　北半部Ⅵ層,花宴遺跡,Hananoeniseki,香南市香我美町徳王子字花宴,33.55416944,133.7429806,Kochi,Shikoku,Rekihaku 14C Database,2010,高知県埋蔵文化財センター発掘調査報告書　第115集　花宴遺跡　南国安芸道路建設工事に伴う発掘調査報告書Ⅱ(高知東部自動車道埋蔵文化財発掘調査報告書Ⅲ)　,,
175,FALSE,TRUE,TRUE,,IAAA-60677,387,28,AMS,-28.96,NA,Charred Seed,炭化米6粒,carbonized grain rice (Oryza sativa),AT203-205整地層,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
176,FALSE,TRUE,TRUE,,IAAA-60678,360,28,AMS,-27.03,NA,Charred Seed,炭化米8粒,carbonized grain rice (Oryza sativa),空堀1西側法面中段壁面密着,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
177,FALSE,TRUE,TRUE,,IAAA-60680,359,30,AMS,-31.07,NA,Charred Seed,炭化米3粒,carbonized grain rice (Oryza sativa),堀切3東側ピット第1硬化面,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
178,FALSE,TRUE,TRUE,,IAAA-60681,325,29,AMS,-29.39,NA,Charred Seed,炭化米3粒,carbonized grain rice (Oryza sativa),堀切3西側ピット第1硬化面,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
179,FALSE,TRUE,TRUE,,IAAA-60683,370,29,AMS,-27.29,NA,Charred Seed,炭化米3粒,carbonized grain rice (Oryza sativa),No.33北トレンチ竪穴状遺構,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
180,FALSE,TRUE,TRUE,,IAAA-60684,350,30,AMS,-31.33,NA,Charred Seed,炭化米4粒,carbonized grain rice (Oryza sativa),No.32南トレンチ竪穴状遺構,河村城跡,Kawamurajoato,足柄上郡山北町山北,35.36123889,139.08105,Kanagawa,Kanto,Rekihaku 14C Database,2007,神奈川県足柄上郡山北町文化財調査報告1　河村城跡,,
181,FALSE,TRUE,TRUE,,IAAA-61083,1262,39,AMS,-26.17,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),第3次調査区　SB-86B南東隅抜き取り痕跡埋土,長者ヶ平遺跡,Chojagadairaiseki,那須烏山市鴻野山,36.67843056,140.0428,Tochigi,Kanto,Rekihaku 14C Database,2007,栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡,,
182,FALSE,TRUE,TRUE,,IAAA-61084,1066,37,AMS,-24.45,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),第6次調査区　SB-113西第2列南第2柱堀方埋土,長者ヶ平遺跡,Chojagadairaiseki,那須烏山市鴻野山,36.67843056,140.0428,Tochigi,Kanto,Rekihaku 14C Database,2007,栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡,,
183,FALSE,TRUE,TRUE,,IAAA-61085,1335,41,AMS,-24.41,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),第12次調査区 SB-201B東側柱列南第2柱抜き取り痕跡埋土,長者ヶ平遺跡,Chojagadairaiseki,那須烏山市鴻野山,36.67843056,140.0428,Tochigi,Kanto,Rekihaku 14C Database,2007,栃木県埋蔵文化財調査報告第300集　長者ヶ平遺跡,,
184,TRUE,FALSE,,,IAAA-61144,6419,39,AMS,-25.94,NA,Humic substances ,腐植,humus,水田状遺構の下位約40cmの層準から採取した黒色泥層を構成する,三疋田遺跡,Sambikidaiseki,多気町大字三疋田,34.49433889,136.5230389,Mie,Kansai,Rekihaku 14C Database,2008,三重県埋蔵文化財調査報告292　三疋田遺跡発掘調査報告,,
185,FALSE,TRUE,FALSE,No date,IAAA-61213,NA,NA,AMS,-24.67,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),B区小礫下,荒谷遺跡,Arayaiseki,八戸市南郷区大字島守字下荒谷,40.44321111,141.4702611,Aomori,Tohoku,Rekihaku 14C Database,2007,荒谷遺跡,Missing Date; Recorded as 'Modern'.,No
186,FALSE,TRUE,TRUE,,IAAA-62068,318,29,AMS,-23.34,NA,Charred Seed,炭化米(イネ胚乳),carbonized rice (Oryza sativa),堀立柱建物跡柱穴跡底面,田光遺跡,Takoiseki,花巻市東和町落合2区,39.36683056,141.2307694,Iwate,Tohoku,Rekihaku 14C Database,2006,花巻市東和町内遺跡発掘調査報告書　倉沢10区Ⅰ遺跡･田光遺跡･押蕪遺跡･長森遺跡,,
187,FALSE,TRUE,TRUE,,IAAA-70350,1682,33,AMS,-22.75,NA,Charred Seed,炭化種実(イネ),carbonized seed/nuts rice (Oryza sativa),3区　第40号住居跡,下土師東遺跡,Shimohajihigashiiseki,東茨城郡茨城町大字下土師字東山,36.28648056,140.3978389,Ibaraki,Kanto,Rekihaku 14C Database,2009,茨城県教育財団文化財調査報告書第315集　下土師東遺跡2,,
188,TRUE,FALSE,,,IAAA-71124,1871,31,AMS,-27.08,NA,Wood,木材,material wood,水田畦畔SK422,寺家前遺跡,Jikemaeiseki,藤枝市中ノ合,34.90523056,138.2478306,Shizuoka,Chubu,Rekihaku 14C Database,2012,静岡県埋蔵文化財センター調査報告第19集　寺家前遺跡Ⅰ　第二東名No.81地点　第二東名建設事業に伴う埋蔵文化財発掘調査報告書　藤枝市-4(古代･中世〜近世編),,
189,TRUE,FALSE,,,IAAA-71125,1851,38,AMS,-23.41,NA,Wood,木材,material wood,水田畦畔SK422,寺家前遺跡,Jikemaeiseki,藤枝市中ノ合,34.90523056,138.2478306,Shizuoka,Chubu,Rekihaku 14C Database,2012,静岡県埋蔵文化財センター調査報告第19集　寺家前遺跡Ⅰ　第二東名No.81地点　第二東名建設事業に伴う埋蔵文化財発掘調査報告書　藤枝市-4(古代･中世〜近世編),,
190,FALSE,TRUE,FALSE,ORA might have reservoir effect?,IAAA-71137,1860,30,AMS,-25.54,-26.3,Organic Residue from Pottery,"土器付着物,焦：米粒痕,胴内",grain from pottery residue inside fabric? rice (Oryza sativa),18号井戸（SE18）,大友西遺跡,Otomonishiiseki,金沢市大友町,36.60446111,136.6272,Ishikawa,Chubu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
191,FALSE,TRUE,FALSE,ORA might have reservoir effect?,IAAA-71140,1900,30,AMS,-25.23,NA,Organic Residue from Pottery,"土器付着物,焦：米粒,胴内",grain from pottery residue inside fabric? rice (Oryza sativa),18号井戸（SE18）,大友西遺跡,Otomonishiiseki,金沢市大友町,36.60446111,136.6272,Ishikawa,Chubu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
192,FALSE,TRUE,TRUE,,IAAA-71153,2540,30,AMS,-26.29,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),6-152号土坑,讃良郡条里遺跡,Saragunjoriiseki,寝屋川市・四条畷市,34.75516528,135.6330833,Osaka,Kansai,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,Updated coordinates,
193,FALSE,TRUE,TRUE,,IAAA-71592,2200,40,AMS,-27.34,NA,Charred Remain,"種実,コメ,",seed/nuts rice (Oryza sativa),NA,朝日遺跡,Asahiiseki,名古屋市西区中沼町・浮野町他,35.21685247,136.8523623,Aichi,Chubu,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
194,TRUE,FALSE,,,IAAA-71804,155,26,AMS,-23.05,NA,Wood,木片,wood frag,第3号水田跡　第4層(床土),新田(1)遺跡,Niida(1)Iseki,青森市大字新田字忍,40.83298056,140.6922111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第472集　新田(1)遺跡　(第2分冊),,
195,TRUE,FALSE,,,IAAA-71829,2178,31,AMS,-25.06,NA,Charred Remain,木炭,charcoal,C区基本土層C1Ⅶ層水田跡第1号水路跡,前川遺跡,Maekawaiseki,南津軽郡田舎館村大字田舎館字前川,40.62835,140.5480306,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第475集　前川遺跡(第二分冊),Site reports mention presence of both Yayoi and Heian Paddy field so could be ok,
196,TRUE,FALSE,,,IAAA-71830,2207,29,AMS,-22.84,NA,Charred Remain,木炭,charcoal,C区基本土層C1Ⅶ層水田跡第1号水路跡,前川遺跡,Maekawaiseki,南津軽郡田舎館村大字田舎館字前川,40.62835,140.5480306,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第475集　前川遺跡(第二分冊),Site reports mention presence of both Yayoi and Heian Paddy field so could be ok,
197,TRUE,FALSE,,,IAAA-71831,2165,31,AMS,-25.94,NA,Charred Remain,木炭,charcoal,C区基本土層C1Ⅶ層水田跡第1号水路跡,前川遺跡,Maekawaiseki,南津軽郡田舎館村大字田舎館字前川,40.62835,140.5480306,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第475集　前川遺跡(第二分冊),Site reports mention presence of both Yayoi and Heian Paddy field so could be ok,
198,TRUE,FALSE,,,IAAA-71833,1315,30,AMS,-26.28,NA,Charred Remain,木炭,charcoal,C区BⅣ層水田跡大畦,前川遺跡,Maekawaiseki,南津軽郡田舎館村大字田舎館字前川,40.62835,140.5480306,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第475集　前川遺跡(第二分冊),Site reports mention presence of both Yayoi and Heian Paddy field so could be ok,
199,FALSE,TRUE,TRUE,,IAAA-71859,412,28,AMS,-21.34,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SC-12　炭層,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
200,FALSE,TRUE,TRUE,,IAAA-71927,2400,30,AMS,-10.21,NA,Charred Seed,"?種実,コメ,  ?キビ",seed/nuts rice (Oryza sativa) ?Panicum miliaceum,SD312焼土070228,庄・蔵本６次,Sho・Kuramoto6ji,徳島市蔵本町２－５０－１他,34.07518056,134.5184194,Tokushima,Shikoku,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,Is listed as  キビ in 西日本の弥生稲作開始年代 When did the Wet Rice Cultivation with the Irrigation System Begin in the Western Japan 藤尾慎一郎 FUJIO Shin’ichiro,
201,FALSE,TRUE,TRUE,,IAAA-71930,2540,30,AMS,-24.11,NA,Charred Seed,"種実,コメ,",seed/nuts rice (Oryza sativa),SD315下層、炭化物層,庄・蔵本６次,Sho・Kuramoto6ji,徳島市蔵本町２－５０－１他,34.07518056,134.5184194,Tokushima,Shikoku,Rekihaku 14C Database,2009,弥生農耕の起源と東アジア-炭素14年代測定による高精度編年体系の構築-平成16～20年文部科学省・科学研究費学術創成研究費　研究成果報告書,,
202,FALSE,TRUE,TRUE,,IAAA-72660,1348,29,AMS,-20.88,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),YKS3454-5 36次調査区,恒川遺跡群,Gongaisekigun,飯田市座光寺,35.5438,137.8427111,Nagano,Chubu,Rekihaku 14C Database,2013,恒川遺跡群総括編,,
203,FALSE,TRUE,TRUE,,IAAA-72661,1231,25,AMS,-18.5,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),YKS4754　32次調査区,恒川遺跡群,Gongaisekigun,飯田市座光寺,35.5438,137.8427111,Nagano,Chubu,Rekihaku 14C Database,2013,恒川遺跡群総括編,,
204,FALSE,TRUE,TRUE,,IAAA-72878,1093,37,AMS,-25.43,NA,Charred Seed,炭化種実(イネ胚乳),carbonized seed/nuts rice (Oryza sativa),SC002　1層,西部遺跡,Seibuiseki,村上市牛屋字西部,38.15261111,139.4423111,Niigata,Chubu,Rekihaku 14C Database,2009,新潟県埋蔵文化財調査報告書第194集　日本海沿岸東北自動車道関係発掘調査報告書ⅩⅩⅩ　西部遺跡Ⅳ･桜林遺跡Ⅲ,,
205,TRUE,FALSE,,,IAAA-80672,1272,29,AMS,-26.17,NA,Other Charred Remains,炭化物,carbonized material,BⅣ層水田(大畦)　BⅣ層,前川遺跡,Maekawaiseki,南津軽郡田舎館村大字田舎館字前川,40.62835,140.5480306,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第475集　前川遺跡(第二分冊),Site reports mention presence of both Yayoi and Heian Paddy field so could be ok,
206,FALSE,TRUE,FALSE,No date,IAAA-80675,NA,NA,AMS,-26.82,NA,Seed,もみがら,rice husk (Oryza sativa),火山灰範囲12　Ⅱa層,宮田館遺跡,Miyatadateiseki,青森市大字宮田字玉水,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,Missing Date,Yes
207,FALSE,TRUE,TRUE,,IAAA-81401,1962,27,AMS,-21.42,NA,Charred Seed,炭化米,carbonized rice (Oryza sativa),YH2号方形周溝墓,河原口坊中遺跡,Kawaraguchibojoiseki,海老名市河原口,35.4495,139.3822806,Kanagawa,Kanto,Rekihaku 14C Database,2015,かながわ考古学財団調査報告307　河原口坊中遺跡第2次調査　第4分冊,,
208,FALSE,TRUE,TRUE,,IAAA-81495,618,26,AMS,-23.34,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SK-259　最下層,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
209,FALSE,TRUE,TRUE,,IAAA-81496,454,27,AMS,-26.11,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SK-266　3層下位,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
210,FALSE,TRUE,TRUE,,IAAA-81497,729,25,AMS,-23.93,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SK-303　2層上部,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
211,FALSE,TRUE,TRUE,,IAAA-81499,384,27,AMS,-24.53,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SF-133　火床面付近,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
212,FALSE,TRUE,TRUE,,IAAA-81500,569,25,AMS,-26.09,NA,Wood,炭化イネ,carbonized rice (Oryza sativa),SF-134　底面炭範囲,米山(2)遺跡,Yoneyama(2)Iseki,青森市大字宮田字米山,40.8354,140.8396111,Aomori,Tohoku,Rekihaku 14C Database,2009,青森県埋蔵文化財調査報告書第473集　米山(2)遺跡Ⅵ･宮田館遺跡Ⅶ,,
